,index,home,away,hometeam_bid,draw_bid,away_bid,0,1
112,2621,MSVDuisburg,HolsteinKiel,2.2,2.9,2.5,0,0.5335566997528076
113,2622,Nürnberg,BayerLeverkusen,3.5,3.4,1.6,2,0.5151442885398865
114,2623,Chievo,Lazio,6.1,3.7,1.3,2,0.5713902711868286
115,2624,ZulteWaregem,KVOostende,1.55,3.5,3.75,2,0.6313704252243042
116,2625,Altay,Altınordu,2.0,2.9,2.8,0,0.6278241872787476
117,2626,SonderjyskE,FCNordsjaelland,2.0,3.2,2.6,1,0.5631232261657715
118,2627,Chambly,Concarneau,1.8,2.9,3.3,2,0.44887223839759827
119,2628,Getafe,Espanyol,2.2,2.6,2.75,0,0.48966214060783386
120,2629,Reading,StokeCity,3.1,3.1,1.8,2,0.5824452042579651
121,2630,ClubBrugge,StandardLiege,1.55,3.5,3.75,2,0.5214570760726929
122,2631,Sion,Luzern,1.95,3.2,2.7,1,0.7116037011146545
123,2632,Valladolid,Leganes,2.1,2.65,2.9,2,0.8067904114723206
124,2633,Monaco,Montpellier,2.2,2.8,2.55,1,0.9346731305122375
125,2634,Celtic,Aberdeen,1.3,3.75,6.25,1,0.8609305620193481
126,2635,Osijek,Rijeka,2.3,2.9,2.4,0,0.6216224431991577
127,2636,Thun,St.Gallen,1.7,3.3,3.2,1,0.5692384243011475
128,2637,SouthendUnited,Barnsley,3.0,2.9,1.9,2,0.6774532198905945
129,2638,Middlesbrough,AstonVilla,1.95,2.8,3.0,1,0.4931560456752777
130,2639,Clyde,BerwickRangers,1.2,4.3,8.0,1,0.9186488389968872
131,2640,Bury,LutonTown,3.0,3.1,1.85,2,0.7066363096237183
132,2641,Girona,AtleticoMadrid,4.55,3.0,1.55,2,0.4855591952800751
133,2642,St.Mirren,Hamilton,2.0,2.9,2.8,1,0.4904918372631073
134,2643,Stuttgart,Augsburg,2.25,3.0,2.35,2,0.9222768545150757
135,2644,Levante,AthleticBilbao,2.45,2.95,2.2,1,0.719392716884613
136,2645,Arbroath,Stenhousemuir,1.2,4.6,7.0,2,0.6037707328796387
137,2646,Atalanta,Napoli,2.95,3.1,1.85,1,0.4930671155452728
138,2647,St.Pauli,DynamoDresden,1.8,3.1,3.1,0,0.43057820200920105
139,2648,Grenoble,Metz,2.3,2.65,2.55,2,0.5437412261962891
140,2649,Rennes,RCStrasbourg,1.5,3.3,4.3,1,0.5889310836791992
141,2650,Nimes,AmiensSC,1.8,3.0,3.2,0,0.4565930664539337
142,2651,AnzhiMakhachkala,FKUfa,3.4,2.7,1.85,2,0.8135313391685486
143,2652,DinamoZagreb,Gorica,1.15,4.75,9.0,1,0.9748799204826355
144,2653,AustriaWien,St.Pölten,1.55,3.3,4.0,1,0.6369062662124634
145,2654,YeniseyKrasnoyarsk,FCAkhmatGrozny,2.3,2.6,2.6,2,0.46434301137924194
146,2655,ACHorsens,FCCopenhagen,4.6,3.4,1.45,2,0.7599595189094543
147,2656,JeonbukMotors,GyeongnamFC,1.35,4.0,5.0,1,0.9090338349342346
148,2657,BlackburnRovers,SheffieldWednesday,1.7,3.1,3.5,1,0.45870739221572876
149,2658,DerbyCounty,SwanseaCity,1.65,3.2,3.6,1,0.44823938608169556
150,2659,YokohamaF.Marinos,CerezoOsaka,1.85,3.2,2.9,2,0.839253842830658
151,2660,RayoMajadahonda,DeportivoLaCoruna,3.3,2.8,1.85,0,0.5500457286834717
152,2661,FKOrenburg,KrylyaSovetov,1.85,2.7,3.4,0,0.4595075845718384
153,2662,DeGraafschap,PECZwolle,2.9,3.3,1.8,0,0.5171228051185608
154,2663,SPAL,Empoli,2.1,3.0,2.6,1,0.4504307508468628
155,2664,SportingCharleroi,CercleBrugge,1.45,3.4,4.6,1,0.7471526861190796
156,2665,ConsadoleSapporo,SanfrecceHiroshima,2.0,3.2,2.6,1,0.9222995042800903
157,2666,Ascoli,Spezia,2.2,2.6,2.75,2,0.42773935198783875
158,2667,AccringtonStanley,CheltenhamTown,1.35,3.6,5.5,1,0.527120053768158
159,2668,NacionalAsuncion,3deFebrero,1.45,3.3,4.75,1,0.4951734244823456
160,2669,Boavista,Porto,9.0,4.0,1.2,2,0.6168644428253174
161,2670,ManchesterCity,Bournemouth(H:1),1.15,5.1,6.2,1,0.803625762462616
162,2671,LegiaWarszawa,KoronaKielce,1.55,3.3,4.0,1,0.4939326345920563
163,2672,UrawaRedDiamonds,FCTokyo,2.2,2.95,2.45,1,0.5096127986907959
164,2673,KawasakiFrontale,JubiloIwata,1.6,3.2,3.75,1,0.6684027314186096
165,2674,Ümraniyespor,OsmanlısporFK,2.0,2.8,2.9,0,0.719200074672699
166,2675,Kilmarnock,Hibernian,2.45,2.85,2.25,1,0.44391965866088867
167,2676,Rostov,CSKAMoscow,2.6,2.6,2.3,1,0.8794462084770203
168,2677,Zürich,Grasshoppers,1.5,3.6,4.0,1,0.8542990684509277
169,2678,SalfordCity,Havant&Waterlooville,1.2,4.25,7.45,1,0.8238602876663208
170,2679,InvernessCT,Falkirk,1.35,3.6,5.5,1,0.47509247064590454
171,2680,Maritimo,VitoriaSetubal,2.1,2.7,2.8,1,0.5480391979217529
172,2681,Chelsea,Fulham(H:1),1.3,4.3,4.6,1,0.8519459962844849
173,2682,VisselKobe,VegaltaSendai,1.65,3.3,3.45,1,0.5111224055290222
174,2683,Gençlerbirliği,KardemirKarabükspor,1.02,6.25,15.0,1,0.9674021601676941
175,2684,Almeria,ExtremaduraUD,1.7,3.0,3.6,2,0.4686061143875122
176,2685,Torino,Genoa,1.55,3.1,4.2,1,0.7100268602371216
177,2686,Brondby,HobroIK,1.15,4.75,9.0,1,0.7452616691589355
178,2687,PeterboroughUnited,BradfordCity,1.45,3.6,4.3,1,0.445035845041275
179,2688,TranmereRovers,Southport,1.25,4.3,6.0,1,0.5211502909660339
180,2689,AELarissa,Panionios,2.2,2.6,2.8,0,0.5871435403823853
181,2690,WellingtonPhoenix,PerthGlory,2.6,3.2,2.0,2,0.9271921515464783
182,2691,AfjetAfyonspor,Eskişehirspor,1.25,4.3,5.8,1,0.8585544228553772
183,2692,RealBetis,RealSociedad,1.95,3.0,2.8,2,0.46388301253318787
184,2693,SheffieldUnited,LeedsUnited,2.0,3.2,2.6,2,0.6942405104637146
185,2694,Osasuna,Lugo,1.35,3.45,5.8,1,0.49258387088775635
186,2695,QueensParkRangers,HullCity,1.65,3.2,3.6,2,0.624126672744751
187,2696,SportingGijon,Tenerife,1.85,2.8,3.3,1,0.6110062599182129
188,2697,KashiwaReysol,GambaOsaka,1.95,3.2,2.7,2,0.5105740427970886
189,2698,Mattersburg,AdmiraWacker,1.45,3.6,4.3,2,0.5287143588066101
190,2699,AtleticoMineiro,Botafogo,1.25,3.9,6.9,1,0.8782848715782166
191,2700,SwindonTown,Woking,1.3,3.75,6.25,1,0.7972783446311951
192,2701,Livingston,Motherwell,2.2,2.9,2.5,2,0.771109938621521
193,2702,LincolnCity,CarlisleUnited,1.5,3.3,4.3,1,0.8296507000923157
194,2703,RoyalAntwerp,Sint-Truiden,1.5,3.3,4.3,1,0.7798555493354797
195,2704,ReusDeportiu,Mallorca,3.05,2.7,2.0,2,0.6652923822402954
196,2705,Flamengo,AtleticoParanaense,1.5,3.2,4.25,1,0.7717680931091309
197,2706,ApollonSmirnis,Atromitos,4.75,3.0,1.55,2,0.9141479134559631
198,2707,V-VarenNagasaki,ShimizuS-Pulse,2.9,3.2,1.85,2,0.5388731360435486
199,2708,PlymouthArgyle,OxfordUnited,2.4,3.0,2.2,1,0.4493783116340637
200,2709,CosenzaCalcio,PadovaCalcio,1.85,2.9,3.2,2,0.4802763760089874
201,2710,Angers,Caen,1.55,3.1,4.3,1,0.809564471244812
202,2711,SangjuSangmu,FCSeoul,2.5,2.9,2.2,2,0.6087000966072083
203,2712,ArsenalKiev,KarpatyLviv,2.9,2.9,1.95,2,0.364769846200943
204,2713,PASGiannina,OFI,1.8,2.7,3.6,1,0.8627290725708008
205,2714,Magdeburg,Bochum,2.5,2.9,2.2,2,0.5176589488983154
206,2715,SturmGraz,WolfsbergerAC,1.85,3.1,3.0,0,0.4061987102031708
207,2716,MaidstoneUnited,OldhamAthletic,5.0,3.5,1.4,2,0.807806134223938
208,2717,Giresunspor,GazişehirGaziantepFK,2.9,2.8,2.0,1,0.5149738192558289
209,2718,Walsall,Sunderland,3.0,3.1,1.85,2,0.6995604038238525
210,2719,Carpi,Lecce,2.6,2.6,2.3,2,0.5140323042869568
211,2720,ViktoriaPlzen,SigmaOlomouc,1.3,3.75,6.25,1,0.9613862037658691
212,2721,Albacete,Alcorcon,2.2,2.6,2.8,1,0.5572066307067871
213,2722,WehenWiesbaden,SportfreundeLotte,1.45,3.4,4.6,2,0.4527853727340698
214,2723,NagoyaGrampus,ShonanBellmare,1.95,2.9,2.9,2,0.49712613224983215
215,2724,Toulouse,Dijon,1.8,2.9,3.3,1,0.39929625391960144
216,2725,Ajax,ADODenHaag(H:1),1.15,5.25,7.35,1,0.9064767360687256
217,2726,Desna,ZoryaLuhansk,3.2,2.9,1.85,1,0.4207160174846649
218,2727,EdinburghCity,QueensPark,1.55,3.1,4.3,2,0.3803420960903168
219,2728,Estudiantes,Lanus,2.0,2.6,3.2,2,0.4375435709953308
220,2729,AEKAtina,Xanthi,1.2,4.0,9.0,1,0.5851786732673645
221,2730,Cremonese,Crotone,2.0,2.8,2.9,1,0.4360586702823639
222,2731,Rudes,HajdukSplit,9.0,4.75,1.15,2,0.6748414635658264
223,2732,Dumbarton,BrechinCity,1.8,3.3,2.9,1,0.443902850151062
224,2733,CharltonAthletic,DoncasterRovers,2.1,3.0,2.55,1,0.5230967402458191
225,2734,BoltonWanderers,WiganAthletic,2.6,2.9,2.1,2,0.46330705285072327
226,2735,Elazığspor,İstanbulspor,2.7,3.2,1.9,2,0.5271763801574707
227,2736,Olympiakos,Panaitolikos,1.05,6.25,12.5,1,0.8748629689216614
228,2737,Groningen,NACBreda,1.45,3.6,4.3,1,0.9635741710662842
229,2738,LasPalmas,RealOviedo,1.55,3.1,4.3,1,0.63435298204422
230,2739,SpartakMoscow,LokomotivMoscow,2.15,2.8,2.65,1,0.6740109324455261
231,2740,Braunschweig,Aalen,1.85,3.0,3.1,1,0.7794097661972046
232,2741,Frosinone,Cagliari,2.7,3.0,2.0,1,0.4610781967639923
233,2742,Barnet,StockportCounty,1.45,3.6,4.3,1,0.4343990385532379
234,2743,Rosenborg,Stromsgodset,1.65,3.3,3.4,2,0.5031636357307434
235,2744,Gremio,Corinthians,1.2,4.0,9.0,1,0.7094336152076721
236,2745,Lugano,NeuchatelXamax,1.8,3.2,3.0,0,0.44858819246292114
237,2746,AtleticoTucuman,SanMartinTucuman,1.5,3.2,4.6,1,0.722521185874939
238,2747,Kortrijk,RoyalExcelMouscron,1.6,3.3,3.6,1,0.5980226397514343
239,2748,Heracles,VVV-Venlo,1.75,3.3,3.1,2,0.42819157242774963
240,2749,Numancia,GimnasticTarragona,1.5,3.2,4.6,0,0.5097567439079285
241,2750,Westerlo,SVRoeselare,1.8,3.1,3.1,1,0.4611121714115143
242,2751,Brescia,Livorno,1.55,3.1,4.3,1,0.750481903553009
243,2752,CSUCraiova,DunareaCalaraşi,1.25,3.8,7.3,1,0.9722324013710022
244,2753,LeytonOrient,Gateshead,1.55,3.3,4.0,2,0.939389169216156
245,2754,Perugia,Pescara,1.85,2.9,3.2,2,0.6837990283966064
246,2755,Cordoba,Elche,1.9,2.9,3.0,1,0.48369911313056946
247,2756,AFCFylde,SuttonUnited,1.85,3.0,3.1,1,0.8009172677993774
248,2757,Stranraer,ForfarAthletic,2.4,3.0,2.2,1,0.588612973690033
249,2758,CruzAzul,Queretaro,1.5,3.6,4.0,1,0.4617133140563965
250,2759,Sassuolo,Udinese,1.7,3.2,3.3,1,0.5056379437446594
251,2760,Peterhead,AnnanAthletic,1.4,3.5,5.0,1,0.7000904083251953
252,2761,Levadiakos,AsterasTripolis,2.9,2.6,2.1,2,0.4584420323371887
253,2762,WislaPlock,GornikZabrze,1.5,3.3,4.3,0,0.7286291718482971
254,2763,Salzburg,RheindorfAltach(H:1),1.2,4.45,5.65,2,0.44432371854782104
255,2764,AlloaAthletic,RossCounty,4.0,3.3,1.55,0,0.6315446496009827
256,2765,HalifaxTown,AFCWimbledon,4.3,3.3,1.5,0,0.5517510175704956
257,2766,MelbourneCity,NewcastleJets,1.8,3.3,2.9,1,0.7724692821502686
258,2767,WestBromwich,Brentford,1.7,3.2,3.35,1,0.4843354821205139
259,2768,1860München,FSVZwickau,1.65,3.2,3.6,1,0.7861016392707825
260,2769,FCSB,GazMetanMedias,1.35,3.6,5.5,1,0.6879209876060486
